video_path,mos
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11618284403_original_centercrop_960x540_8s.mp4,4.12
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11465976586_original_centercrop_960x540_8s.mp4,3.94
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11057110163_original_centercrop_960x540_8s.mp4,2.78
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10016324794_original_centercrop_960x540_8s.mp4,2.96
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10716218856_cut_centercrop_960x540_8s.mp4,2.06
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10691750555_original_centercrop_960x540_8s.mp4,2.84
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10864372176_original_centercrop_960x540_8s.mp4,3.14
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10013374164_original_centercrop_960x540_8s.mp4,3.74
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11646665363_original_centercrop_960x540_8s.mp4,3.7
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11816978255_cut_centercrop_960x540_8s.mp4,3.76
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11095294653_cut_centercrop_960x540_8s.mp4,1.86
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10657154643_original_centercrop_960x540_8s.mp4,3.58
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10008004183_original_centercrop_960x540_8s.mp4,4.06
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11082897705_cut_centercrop_960x540_8s.mp4,3.3
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10716551125_original_centercrop_960x540_8s.mp4,2.22
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10178280003_original_centercrop_960x540_8s.mp4,1.7
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11086166076_cut_centercrop_960x540_8s.mp4,3.28
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10116604143_original_centercrop_960x540_8s.mp4,3.08
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10837320963_cut_centercrop_960x540_8s.mp4,3.7
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10201521555_original_centercrop_960x540_8s.mp4,2.3
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10127250986_cut_centercrop_960x540_8s.mp4,2.3
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10340094005_original_centercrop_960x540_8s.mp4,3.32
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11469243925_original_centercrop_960x540_8s.mp4,2.28
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10838546955_cut_centercrop_960x540_8s.mp4,3.0
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10655599784_original_centercrop_960x540_8s.mp4,3.26
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10533906564_cut_centercrop_960x540_8s.mp4,3.24
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10208239954_cut_centercrop_960x540_8s.mp4,3.12
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10417424703_original_centercrop_960x540_8s.mp4,1.88
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10625504535_cut_centercrop_960x540_8s.mp4,2.1
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11013388203_original_centercrop_960x540_8s.mp4,3.76
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/11803329033_original_centercrop_960x540_8s.mp4,3.56
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10404182556_original_centercrop_960x540_8s.mp4,2.32
/workspaces/Video-Quality-R1/FAST-VQA-and-FasterVQA/videoquality_r1/KoNViD_1k_videos/KoNViD/10541657773_cut_centercrop_960x540_8s.mp4,3.74
